PF00001	IPR000276
PF00004	IPR003959
PF00007	IPR006208
PF00008	IPR006209
PF00010	IPR001092
PF00013	IPR018111
PF00017	IPR000980
PF00018	IPR001452
PF00020	IPR001368
PF00022	IPR004000
PF00023	IPR002110
PF00027	IPR000595
PF00028	IPR002126
PF00035	IPR001159
PF00036	IPR018248
PF00041	IPR003961
PF00046	IPR001356
PF00047	IPR013151
PF00049	IPR016179
PF00050	IPR002350
PF00053	IPR002049
PF00059	IPR001304
PF00060	IPR001320
PF00063	IPR001609
PF00069	IPR017442
PF00071	IPR013753
PF00072	IPR001789
PF00076	IPR000504
PF00084	IPR000436
PF00085	IPR013766
PF00086	IPR000716
PF00089	IPR001254
PF00090	IPR000884
PF00092	IPR002035
PF00093	IPR001007
PF00096	IPR007087
PF00097	IPR018957
PF00098	IPR001878
PF00102	IPR000242
PF00105	IPR001628
PF00128	IPR006047
PF00129	IPR001039
PF00134	IPR006671
PF00147	IPR002181
PF00149	IPR004843
PF00158	IPR002078
PF00160	IPR002130
PF00168	IPR000008
PF00169	IPR001849
PF00172	IPR001138
PF00176	IPR000330
PF00178	IPR000418
PF00198	IPR001078
PF00219	IPR000867
PF00225	IPR001752
PF00226	IPR001623
PF00227	IPR001353
PF00240	IPR000626
PF00249	IPR014778
PF00270	IPR011545
PF00271	IPR001650
PF00292	IPR001523
PF00307	IPR001715
PF00373	IPR019748
PF00387	IPR001711
PF00388	IPR000909
PF00389	IPR006139
PF00397	IPR001202
PF00400	IPR019781
PF00431	IPR000859
PF00433	IPR017892
PF00435	IPR002017
PF00439	IPR001487
PF00443	IPR001394
PF00454	IPR000403
PF00491	IPR006035
PF00498	IPR000253
PF00514	IPR000225
PF00531	IPR000488
PF00533	IPR001357
PF00538	IPR005818
PF00554	IPR011539
PF00560	IPR001611
PF00564	IPR000270
PF00568	IPR000697
PF00583	IPR022610
PF00595	IPR001478
PF00612	IPR000048
PF00613	IPR001263
PF00614	IPR001736
PF00615	IPR000342
PF00616	IPR001936
PF00617	IPR001895
PF00618	IPR000651
PF00619	IPR001315
PF00620	IPR000198
PF00621	IPR000219
PF00625	IPR008144
PF00627	IPR000449
PF00632	IPR000569
PF00633	IPR000445
PF00640	IPR006020
PF00644	IPR012317
PF00646	IPR001810
PF00651	IPR013069
PF00672	IPR003660
PF00680	IPR001205
PF00686	IPR002044
PF00704	IPR001223
PF00754	IPR000421
PF00757	IPR006211
PF00769	IPR011259
PF00778	IPR001158
PF00779	IPR001562
PF00782	IPR000340
PF00786	IPR000095
PF00787	IPR001683
PF00788	IPR000159
PF00792	IPR002420
PF00794	IPR000341
PF00795	IPR003010
PF00806	IPR001313
PF00812	IPR001799
PF00856	IPR001214
PF00863	IPR001730
PF00869	IPR011999
PF00889	IPR014039
PF00917	IPR002083
PF00949	IPR001850
PF00969	IPR000353
PF00972	IPR000208
PF00989	IPR013767
PF00993	IPR001003
PF00998	IPR002166
PF01006	IPR000745
PF01017	IPR013800
PF01030	IPR000494
PF01049	IPR000233
PF01079	IPR001767
PF01085	IPR000320
PF01088	IPR001578
PF01158	IPR000509
PF01269	IPR000692
PF01336	IPR004365
PF01363	IPR000306
PF01369	IPR000904
PF01388	IPR001606
PF01398	IPR000555
PF01399	IPR000717
PF01403	IPR001627
PF01404	IPR001090
PF01412	IPR001164
PF01421	IPR001590
PF01423	IPR001163
PF01437	IPR002165
PF01451	IPR017867
PF01459	IPR001925
PF01462	IPR000372
PF01582	IPR000157
PF01590	IPR003018
PF01627	IPR008207
PF01652	IPR001040
PF01653	IPR013839
PF01728	IPR002877
PF01729	IPR002638
PF01833	IPR002909
PF01853	IPR002717
PF01912	IPR002769
PF01974	IPR006677
PF02037	IPR003034
PF02136	IPR002075
PF02151	IPR001943
PF02174	IPR002404
PF02185	IPR000861
PF02189	IPR003110
PF02196	IPR003116
PF02201	IPR003121
PF02262	IPR003153
PF02291	IPR003162
PF02319	IPR003316
PF02518	IPR003594
PF02540	IPR022310
PF02736	IPR004009
PF02749	IPR022412
PF02761	IPR014741
PF02762	IPR014742
PF02806	IPR006048
PF02816	IPR004166
PF02820	IPR004092
PF02832	IPR000336
PF02839	IPR003610
PF02852	IPR004099
PF02854	IPR003890
PF02864	IPR013801
PF02898	IPR004030
PF02907	IPR004109
PF02954	IPR002197
PF02969	IPR004823
PF02984	IPR004367
PF03114	IPR004148
PF03119	IPR004149
PF03120	IPR004150
PF03143	IPR004160
PF03166	IPR001132
PF03234	IPR013855
PF03572	IPR005151
PF03623	IPR005189
PF03765	IPR008273
PF03775	IPR005526
PF04421	IPR007515
PF04427	IPR007109
PF04719	IPR006809
PF05033	IPR007728
PF06384	IPR009428
PF06617	IPR000751
PF07679	IPR013098
PF07686	IPR013106
PF07714	IPR001245
