PF00001	IPR000276
PF00004	IPR003959
PF00010	IPR001092
PF00013	IPR018111
PF00017	IPR000980
PF00018	IPR001452
PF00022	IPR004000
PF00023	IPR002110
PF00036	IPR018248
PF00041	IPR003961
PF00046	IPR001356
PF00047	IPR013151
PF00063	IPR001609
PF00069	IPR017442
PF00071	IPR013753
PF00076	IPR000504
PF00085	IPR013766
PF00096	IPR007087
PF00097	IPR018957
PF00102	IPR000242
PF00104	IPR000536
PF00105	IPR001628
PF00125	IPR007125
PF00134	IPR006671
PF00157	IPR000327
PF00164	IPR006032
PF00168	IPR000008
PF00169	IPR001849
PF00170	IPR011616
PF00178	IPR000418
PF00180	IPR001804
PF00198	IPR001078
PF00204	IPR013506
PF00226	IPR001623
PF00227	IPR001353
PF00240	IPR000626
PF00249	IPR014778
PF00292	IPR001523
PF00307	IPR001715
PF00319	IPR002100
PF00387	IPR001711
PF00388	IPR000909
PF00389	IPR006139
PF00400	IPR019781
PF00433	IPR017892
PF00435	IPR002017
PF00439	IPR001487
PF00443	IPR001394
PF00491	IPR006035
PF00498	IPR000253
PF00515	IPR001440
PF00538	IPR005818
PF00564	IPR000270
PF00568	IPR000697
PF00595	IPR001478
PF00612	IPR000048
PF00616	IPR001936
PF00617	IPR001895
PF00618	IPR000651
PF00620	IPR000198
PF00621	IPR000219
PF00625	IPR008144
PF00627	IPR000449
PF00630	IPR017868
PF00632	IPR000569
PF00640	IPR006020
PF00646	IPR001810
PF00651	IPR013069
PF00769	IPR011259
PF00779	IPR001562
PF00786	IPR000095
PF00787	IPR001683
PF00788	IPR000159
PF00850	IPR000286
PF00856	IPR001214
PF00889	IPR014039
PF00917	IPR002083
PF01017	IPR013800
PF01028	IPR013500
PF01056	IPR012682
PF01079	IPR001767
PF01085	IPR000320
PF01088	IPR001578
PF01131	IPR013497
PF01158	IPR000509
PF01248	IPR004038
PF01363	IPR000306
PF01369	IPR000904
PF01399	IPR000717
PF01412	IPR001164
PF01459	IPR001925
PF01853	IPR002717
PF01857	IPR002719
PF01858	IPR002720
PF01992	IPR002843
PF02174	IPR002404
PF02178	IPR017956
PF02189	IPR003110
PF02196	IPR003116
PF02201	IPR003121
PF02262	IPR003153
PF02319	IPR003316
PF02736	IPR004009
PF02761	IPR014741
PF02762	IPR014742
PF02826	IPR006140
PF02852	IPR004099
PF02864	IPR013801
PF02919	IPR008336
PF02984	IPR004367
PF03114	IPR004148
PF03143	IPR004160
PF03166	IPR001132
PF03234	IPR013855
PF03366	IPR005033
PF03623	IPR005189
PF03775	IPR005526
PF04421	IPR007515
PF04729	IPR006818
PF05033	IPR007728
PF06384	IPR009428
PF07679	IPR013098
PF07686	IPR013106
PF07714	IPR001245
