PF00001	IPR000276
PF00004	IPR003959
PF00008	IPR006209
PF00017	IPR000980
PF00018	IPR001452
PF00023	IPR002110
PF00027	IPR000595
PF00028	IPR002126
PF00036	IPR018248
PF00041	IPR003961
PF00045	IPR018487
PF00047	IPR013151
PF00048	IPR001811
PF00058	IPR000033
PF00059	IPR001304
PF00069	IPR017442
PF00071	IPR013753
PF00076	IPR000504
PF00084	IPR000436
PF00090	IPR000884
PF00092	IPR002035
PF00097	IPR018957
PF00102	IPR000242
PF00106	IPR002198
PF00109	IPR014030
PF00128	IPR006047
PF00129	IPR001039
PF00147	IPR002181
PF00169	IPR001849
PF00171	IPR015590
PF00433	IPR017892
PF00503	IPR001019
PF00514	IPR000225
PF00515	IPR001440
PF00531	IPR000488
PF00554	IPR011539
PF00560	IPR001611
PF00595	IPR001478
PF00612	IPR000048
PF00615	IPR000342
PF00631	IPR015898
PF00640	IPR006020
PF00646	IPR001810
PF00651	IPR013069
PF00686	IPR002044
PF00704	IPR001223
PF00757	IPR006211
PF00850	IPR000286
PF00856	IPR001214
PF00969	IPR000353
PF00993	IPR001003
PF01030	IPR000494
PF01049	IPR000233
PF01403	IPR001627
PF01404	IPR001090
PF01412	IPR001164
PF01437	IPR002165
PF01462	IPR000372
PF01575	IPR002539
PF01582	IPR000157
PF01833	IPR002909
PF01992	IPR002843
PF02189	IPR003110
PF02801	IPR014031
PF02806	IPR006048
PF02816	IPR004166
PF02839	IPR003610
PF07679	IPR013098
PF07686	IPR013106
PF07714	IPR001245
