PF10417	IPR019479
PF00244	IPR000308
PF00389	IPR006139
PF02826	IPR006140
PF00198	IPR001078
PF04029	IPR005238
PF08521	IPR013727
PF08793	IPR014901
PF08975	IPR015069
PF03390	IPR004679
PF03171	IPR005123
PF02834	IPR014051
PF03475	IPR005163
PF06983	
PF06052	IPR010329
PF00803	IPR000603
PF01073	IPR002225
PF06725	IPR010611
PF02829	IPR004173
PF10605	IPR016582
PF00725	IPR006108
PF02737	IPR006176
PF01612	IPR002562
PF04419	IPR007513
PF03061	IPR006683
PF05902	IPR008379
PF01812	IPR002698
PF06189	IPR010394
PF09038	IPR015125
PF03491	IPR013086
PF07694	IPR011620
PF01367	IPR020047
PF02739	IPR020046
PF05761	IPR008380
PF02872	IPR008334
PF02096	IPR001708
PF01591	IPR013079
PF00393	IPR006114
PF02495	IPR003411
PF02294	IPR003212
PF07698	IPR011621
PF07696	IPR011622
PF07695	IPR011623
PF07697	IPR011624
PF00001	IPR000276
PF00002	IPR000832
PF00003	IPR017978
PF02949	IPR004117
PF08395	IPR013604
PF02117	IPR000344
PF10292	IPR019408
PF02175	IPR002184
PF10316	IPR019420
PF10317	IPR019421
PF10318	IPR019422
PF10327	IPR019429
PF10319	IPR019423
PF10320	IPR019424
PF10321	IPR019425
PF10322	IPR003839
PF10323	IPR019426
PF10324	IPR019427
PF10328	IPR019430
PF10325	IPR018817
PF10326	IPR019428
PF07388	IPR010866
PF07966	IPR012848
PF08792	IPR014900
PF00207	IPR001599
PF07678	IPR011626
PF01835	IPR002890
PF07703	IPR011625
PF07677	IPR009048
PF02177	IPR008154
PF00004	IPR003959
PF09820	IPR018631
PF07724	IPR013093
PF07726	IPR011703
PF04326	IPR007421
PF07728	IPR011704
PF08298	IPR013153
PF04611	IPR007689
PF03306	IPR005128
PF05282	IPR007946
PF08142	IPR012948
PF03417	IPR005079
PF07247	IPR010828
PF00696	IPR001048
PF00324	IPR004841
PF08403	IPR013612
PF01490	IPR013057
PF02496	IPR003496
PF00950	IPR001626
PF03109	IPR004147
PF01061	IPR013525
PF09818	IPR019195
PF09819	IPR017195
PF00664	IPR001140
PF06472	IPR010509
PF04392	IPR007487
PF00005	IPR003439
PF09821	IPR018632
PF09822	IPR019196
PF05270	IPR007934
PF03806	IPR004697
PF00561	IPR000073
PF02230	IPR003140
PF07859	IPR013094
PF08386	IPR013595
PF04083	IPR006693
PF02517	IPR003675
PF07751	IPR011664
PF07815	IPR012849
PF03992	IPR007138
PF09441	IPR018562
PF00887	IPR000582
PF03255	IPR020582
PF08326	IPR013537
PF06315	IPR010452
PF00871	IPR000890
PF09290	IPR015426
PF08882	IPR014979
PF02550	IPR003702
PF00583	IPR022610
PF00797	IPR001447
PF08674	IPR014788
PF00328	IPR000560
PF03767	IPR005519
PF05882	
PF00330	IPR001030
PF06434	IPR015929
PF00694	IPR000573
PF01756	IPR002655
PF05777	IPR008392
PF06313	IPR009392
