PF00001	IPR000276
PF00004	IPR003959
PF00008	IPR006209
PF00013	IPR018111
PF00017	IPR000980
PF00018	IPR001452
PF00023	IPR002110
PF00027	IPR000595
PF00041	IPR003961
PF00047	IPR013151
PF00059	IPR001304
PF00069	IPR017442
PF00071	IPR013753
PF00084	IPR000436
PF00089	IPR001254
PF00096	IPR007087
PF00102	IPR000242
PF00168	IPR000008
PF00169	IPR001849
PF00176	IPR000330
PF00271	IPR001650
PF00387	IPR001711
PF00388	IPR000909
PF00400	IPR019781
PF00431	IPR000859
PF00433	IPR017892
PF00439	IPR001487
PF00583	IPR022610
PF00595	IPR001478
PF00615	IPR000342
PF00620	IPR000198
PF00621	IPR000219
PF00640	IPR006020
PF00754	IPR000421
PF00757	IPR006211
PF00779	IPR001562
PF01017	IPR013800
PF02174	IPR002404
PF02185	IPR000861
PF02196	IPR003116
PF02262	IPR003153
PF02291	IPR003162
PF02761	IPR014741
PF02762	IPR014742
PF02816	IPR004166
PF02864	IPR013801
PF02969	IPR004823
PF03623	IPR005189
PF07686	IPR013106
PF07714	IPR001245
