ID              SYMBOL       
--------------- ------------ 
ENSG00000000938 FGR          
ENSG00000004455 AK2          
ENSG00000004660 CAMKK1       
ENSG00000004799 PDK4         
ENSG00000005020 SKAP2        
ENSG00000005249 PRKAR2B      
ENSG00000005700 IBTK         
ENSG00000005882 PDK2         
ENSG00000006062 MAP3K14      
ENSG00000006432 MAP3K9       
ENSG00000006453 BAIAP2L1     
ENSG00000006530 AGK          
ENSG00000006634 DBF4         
ENSG00000006837 CDKL3        
ENSG00000007047 MARK4        
ENSG00000007264 MATK         
ENSG00000008086 CDKL5        
ENSG00000008118 CAMK1G       
ENSG00000008128 CDK11A       
ENSG00000008128 CDK11B       
ENSG00000008130 NADK         
ENSG00000008294 SPAG9        
ENSG00000008735 MAPK8IP2     
ENSG00000009790 TRAF3IP3     
ENSG00000009954 BAZ1B        
ENSG00000010219 DYRK4        
ENSG00000010671 BTK          
ENSG00000010810 FYN          
ENSG00000011052 NME2         
ENSG00000011243 AKAP8L       
ENSG00000011405 PIK3C2A      
ENSG00000011566 MAP4K3       
ENSG00000011600 TYROBP       
ENSG00000012983 MAP4K5       
ENSG00000013441 CLK1         
ENSG00000017373 SRCIN1       
ENSG00000020426 MNAT1        
ENSG00000023287 RB1CC1       
ENSG00000023516 AKAP11       
ENSG00000023734 STRAP        
ENSG00000023902 PLEKHO1      
ENSG00000027075 PRKCH        
ENSG00000028116 VRK2         
ENSG00000030304 MUSK         
ENSG00000034152 MAP2K3       
ENSG00000035664 DAPK2        
ENSG00000037280 FLT4         
ENSG00000037474 NSUN2        
ENSG00000038210 PI4K2B       
ENSG00000039650 PNKP         
ENSG00000044446 PHKA2        
ENSG00000044524 EPHA3        
ENSG00000047936 ROS1         
ENSG00000050130 JKAMP        
ENSG00000050748 MAPK9        
ENSG00000051382 PIK3CB       
ENSG00000055208 TAB2         
ENSG00000055332 EIF2AK2      
ENSG00000058091 CDK14        
ENSG00000058404 CAMK2B       
ENSG00000058729 RIOK2        
ENSG00000058866 DGKG         
ENSG00000059758 CDK17        
ENSG00000060140 STYK1        
ENSG00000060237 WNK1         
ENSG00000061938 TNK2         
ENSG00000062524 LTK          
ENSG00000063176 SPHK2        
ENSG00000063761 ADCK1        
ENSG00000064393 HIPK2        
ENSG00000065054 SLC9A3R2     
ENSG00000065243 PKN2         
ENSG00000065357 DGKA         
ENSG00000065361 ERBB3        
ENSG00000065534 MYLK         
ENSG00000065559 MAP2K4       
ENSG00000065613 SLK          
ENSG00000065675 PRKCQ        
ENSG00000065883 CDK13        
ENSG00000066056 TIE1         
ENSG00000066468 FGFR2        
ENSG00000067057 PFKP         
ENSG00000067177 PHKA1        
ENSG00000067225 PKM2         
ENSG00000067606 PRKCZ        
ENSG00000067900 ROCK1        
ENSG00000067992 PDK3         
ENSG00000068078 FGFR3        
ENSG00000068120 COASY        
ENSG00000068745 IP6K2        
ENSG00000068831 RASGRP2      
ENSG00000069020 MAST4        
ENSG00000069275 NUCKS1       
ENSG00000069956 MAPK6        
ENSG00000070061 IKBKAP       
ENSG00000070759 TESK2        
ENSG00000070770 CSNK2A2      
ENSG00000070808 CAMK2A       
ENSG00000070886 EPHA8        
ENSG00000071051 NCK2         
ENSG00000071054 MAP4K4       
ENSG00000071205 ARHGAP10     
ENSG00000071242 RPS6KA2      
ENSG00000072062 PRKACA       
ENSG00000072133 RPS6KA6      
ENSG00000072195 SPEG         
ENSG00000072518 MARK2        
ENSG00000072786 STK10        
ENSG00000072952 MRVI1        
ENSG00000073009 IKBKG        
ENSG00000073331 ALPK1        
ENSG00000073803 MAP3K13      
ENSG00000074590 NUAK1        
ENSG00000074966 TXK          
ENSG00000075413 MARK3        
ENSG00000076984 MAP2K7       
ENSG00000077009 ITGB1BP3     
ENSG00000077044 DGKD         
ENSG00000077264 PAK3         
ENSG00000077782 FGFR1        
ENSG00000077809 GTF2I        
ENSG00000078061 ARAF         
ENSG00000078142 PIK3C3       
ENSG00000079277 MKNK1        
ENSG00000080224 EPHA6        
ENSG00000081026 MAGI3        
ENSG00000081320 STK17B       
ENSG00000082146 STRADB       
ENSG00000082701 GSK3B        
ENSG00000083290 ULK2         
ENSG00000085231 TAF9         
ENSG00000085511 MAP3K4       
ENSG00000086015 MAST2        
ENSG00000086232 EIF2AK1      
ENSG00000086544 ITPKC        
ENSG00000087095 NLK          
ENSG00000087586 AURKA        
ENSG00000088832 FKBP1A       
ENSG00000088970 PLK1S1       
ENSG00000089022 MAPKAPK5     
ENSG00000089220 PEBP1        
ENSG00000090376 IRAK3        
ENSG00000090554 FLT3LG       
ENSG00000090776 EFNB1        
ENSG00000091436 ZAK          
ENSG00000091732 ZC3HC1       
ENSG00000092439 TRPM7        
ENSG00000092445 TYRO3        
ENSG00000093217 XYLB         
ENSG00000095015 MAP3K1       
ENSG00000096063 SRPK1        
ENSG00000096968 JAK2         
ENSG00000097007 ABL1         
ENSG00000097046 CDC7         
ENSG00000099308 MAST3        
ENSG00000099617 EFNA2        
ENSG00000099725 PRKY         
ENSG00000099875 MKNK2        
ENSG00000100030 MAPK1        
ENSG00000100034 PPM1F        
ENSG00000100077 ADRBK2       
ENSG00000100100 PIK3IP1      
ENSG00000100105 PATZ1        
ENSG00000100151 PICK1        
ENSG00000100266 PACSIN2      
ENSG00000100288 CHKB         
ENSG00000100324 TAB1         
ENSG00000100422 CERK         
ENSG00000100462 PRMT5        
ENSG00000100490 CDKL1        
ENSG00000100503 NIN          
ENSG00000100526 CDKN3        
ENSG00000100605 ITPK1        
ENSG00000100749 VRK1         
ENSG00000100784 RPS6KA5      
ENSG00000100865 CINP         
ENSG00000101040 ZMYND8       
ENSG00000101049 SGK2         
ENSG00000101109 STK4         
ENSG00000101134 DOK5         
ENSG00000101213 PTK6         
ENSG00000101255 TRIB3        
ENSG00000101266 CSNK2A1      
ENSG00000101306 MYLK2        
ENSG00000101336 HCK          
ENSG00000101349 PAK7         
ENSG00000101782 RIOK3        
ENSG00000102010 BMX          
ENSG00000102096 PIM2         
ENSG00000102144 PGK1         
ENSG00000102225 CDK16        
ENSG00000102543 CDADC1       
ENSG00000102572 STK24        
ENSG00000102580 DNAJC3       
ENSG00000102755 FLT1         
ENSG00000102780 DGKH         
ENSG00000102882 MAPK3        
ENSG00000102893 PHKB         
ENSG00000103024 NME3         
ENSG00000103202 NME4         
ENSG00000103319 EEF2K        
ENSG00000103507 BCKDK        
ENSG00000103653 CSK          
ENSG00000104205 C8orf44-SGK3 
ENSG00000104205 SGK3         
ENSG00000104312 RIPK2        
ENSG00000104365 IKBKB        
ENSG00000104375 STK3         
ENSG00000104814 MAP4K1       
ENSG00000104879 CKM          
ENSG00000104936 DMPK         
ENSG00000105053 VRK3         
ENSG00000105127 AKAP8        
ENSG00000105146 AURKC        
ENSG00000105204 DYRK1B       
ENSG00000105221 AKT2         
ENSG00000105287 PRKD2        
ENSG00000105397 TYK2         
ENSG00000105401 CDC37        
ENSG00000105613 MAST1        
ENSG00000105639 JAK3         
ENSG00000105647 PIK3R2       
ENSG00000105723 GSK3A        
ENSG00000105810 CDK6         
ENSG00000105851 PIK3CG       
ENSG00000105976 MET          
ENSG00000106123 EPHB6        
ENSG00000106617 PRKAG2       
ENSG00000106683 LIMK1        
ENSG00000106733 C9orf95      
ENSG00000106799 TGFBR1       
ENSG00000106992 AK1          
ENSG00000107140 TESK1        
ENSG00000107242 PIP5K1B      
ENSG00000107643 MAPK8        
ENSG00000107779 BMPR1A       
ENSG00000107957 SH3PXD2A     
ENSG00000107968 MAP3K8       
ENSG00000108262 GIT1         
ENSG00000108443 RPS6KB1      
ENSG00000108479 GALK1        
ENSG00000108599 AKAP10       
ENSG00000108946 PRKAR1A      
ENSG00000108947 EFNB3        
ENSG00000108953 YWHAE        
ENSG00000108984 MAP2K6       
ENSG00000109270 LAMTOR3      
ENSG00000109339 MAPK10       
ENSG00000110422 HIPK3        
ENSG00000110514 MADD         
ENSG00000110721 CHKA         
ENSG00000110921 MVK          
ENSG00000110931 CAMKK2       
ENSG00000111254 AKAP3        
ENSG00000111266 DUSP16       
ENSG00000111276 CDKN1B       
ENSG00000111328 CDK2AP1      
ENSG00000111725 PRKAB1       
ENSG00000111816 FRK          
ENSG00000111837 MAK          
ENSG00000111845 PAK1IP1      
ENSG00000112062 MAPK14       
ENSG00000112079 STK38        
ENSG00000112144 ICK          
ENSG00000112655 PTK7         
ENSG00000112679 DUSP22       
ENSG00000112739 PRPF4B       
ENSG00000112742 TTK          
ENSG00000112981 NME5         
ENSG00000113240 CLK4         
ENSG00000113263 ITK          
ENSG00000113558 SKP1         
ENSG00000113712 CSNK1A1      
ENSG00000114124 GRK7         
ENSG00000114268 PFKFB4       
ENSG00000114302 PRKAR2A      
ENSG00000114670 NEK11        
ENSG00000114738 MAPKAPK3     
ENSG00000114904 NEK4         
ENSG00000114956 DGUOK        
ENSG00000115020 PIKFYVE      
ENSG00000115085 ZAP70        
ENSG00000115170 ACVR1        
ENSG00000115325 DOK1         
ENSG00000115592 PRKAG3       
ENSG00000115661 STK16        
ENSG00000115687 PASK         
ENSG00000115694 STK25        
ENSG00000115825 PRKD3        
ENSG00000115977 AAK1         
ENSG00000116106 EPHA4        
ENSG00000116141 MARK1        
ENSG00000116199 FAM20B       
ENSG00000116783 TNNI3K       
ENSG00000117020 AKT3         
ENSG00000117266 CDK18        
ENSG00000117461 PIK3R3       
ENSG00000117650 NEK2         
ENSG00000117676 RPS6KA1      
ENSG00000118046 STK11        
ENSG00000118246 FASTKD2      
ENSG00000118507 AKAP7        
ENSG00000118515 SGK1         
ENSG00000119121 TRPM6        
ENSG00000119408 NEK6         
ENSG00000119487 MAPKAP1      
ENSG00000119638 NEK9         
ENSG00000120129 DUSP1        
ENSG00000120137 PANK3        
ENSG00000120156 TEK          
ENSG00000120370 GORAB        
ENSG00000120539 MASTL        
ENSG00000120875 DUSP4        
ENSG00000120899 PTK2B        
ENSG00000121057 AKAP1        
ENSG00000121101 TEX14        
ENSG00000121653 MAPK8IP1     
ENSG00000121879 PIK3CA       
ENSG00000122025 FLT3         
ENSG00000122966 CIT          
ENSG00000123080 CDKN2C       
ENSG00000123143 PKN1         
ENSG00000123154 WDR83        
ENSG00000123374 CDK2         
ENSG00000123572 NRK          
ENSG00000123612 ACVR1C       
ENSG00000123815 ADCK4        
ENSG00000123836 PFKFB2       
ENSG00000123975 CKS2         
ENSG00000124279 FASTKD3      
ENSG00000124357 NAGK         
ENSG00000124507 PACSIN1      
ENSG00000124762 CDKN1A       
ENSG00000124784 RIOK1        
ENSG00000125170 DOK4         
ENSG00000125266 EFNB2        
ENSG00000125388 GRK4         
ENSG00000125508 SRMS         
ENSG00000125695 STRADA       
ENSG00000125779 PANK2        
ENSG00000125834 STK35        
ENSG00000126264 HCST         
ENSG00000126467 TSKS         
ENSG00000126562 WNK4         
ENSG00000126583 PRKCG        
