Entry	Domains	InterPro
P00519	Protein kinase domain (1); SH2 domain (1); SH3 domain (1)	IPR015015; IPR011009; IPR000719; IPR017441; IPR001245; IPR000980; IPR001452; IPR008266; IPR020635; 
P00520	Protein kinase domain (1); SH2 domain (1); SH3 domain (1)	IPR015015; IPR011009; IPR000719; IPR017441; IPR001245; IPR000980; IPR001452; IPR008266; IPR020635; 
P55197	PHD-type zinc fingers (2)	IPR019786; IPR011011; IPR001965; IPR019787; IPR013083; 
P55198	PHD-type zinc fingers (2)	IPR019786; IPR011011; IPR001965; IPR019787; IPR013083; 
Q13015		IPR026778; 
P42568	YEATS domain (1)	IPR005033; 
P55196	Dilute domain (1); FHA domain (1); PDZ (DHR) domain (1); Ras-associating domains (2)	IPR018444; IPR002710; IPR000253; IPR001478; IPR000159; IPR008984; 
P51825		IPR007797; 
O88573		IPR007797; 
Q9UHB7		IPR007797; 
Q9ESC8		IPR007797; 
O95994		IPR012336; 
O88312		IPR012336; 
Q5R7P1		IPR012336; 
Q9NQ31		
Q12802	DH (DBL-homology) domain (1); PH domain (1); Phorbol-ester/DAG-type zinc finger (1)	IPR000219; IPR011993; IPR001849; IPR002219; 
P31749	AGC-kinase C-terminal domain (1); PH domain (1); Protein kinase domain (1)	IPR000961; IPR011009; IPR011993; IPR017892; IPR001849; IPR000719; IPR017441; IPR002290; IPR008271; 
P31751	AGC-kinase C-terminal domain (1); PH domain (1); Protein kinase domain (1)	IPR000961; IPR011009; IPR011993; IPR017892; IPR001849; IPR000719; IPR017441; IPR002290; IPR008271; 
Q9UM73	LDL-receptor class A domain (1); MAM domains (2); Protein kinase domain (1)	IPR026830; IPR008985; IPR011009; IPR002172; IPR000998; IPR000719; IPR017441; IPR001245; IPR008266; IPR020635; IPR002011; 
P10398	Phorbol-ester/DAG-type zinc finger (1); Protein kinase domain (1); RBD (Ras-binding) domain (1)	IPR020454; IPR011009; IPR002219; IPR000719; IPR017441; IPR003116; IPR001245; IPR008271; 
P04627	Phorbol-ester/DAG-type zinc finger (1); Protein kinase domain (1); RBD (Ras-binding) domain (1)	IPR020454; IPR011009; IPR002219; IPR000719; IPR017441; IPR003116; IPR001245; IPR008271; 
O19004	Phorbol-ester/DAG-type zinc finger (1); Protein kinase domain (1); RBD (Ras-binding) domain (1)	IPR020454; IPR011009; IPR002219; IPR000719; IPR017441; IPR003116; IPR001245; IPR008271; 
P14056	Phorbol-ester/DAG-type zinc finger (1); Protein kinase domain (1); RBD (Ras-binding) domain (1)	IPR020454; IPR011009; IPR002219; IPR000719; IPR017441; IPR003116; IPR001245; IPR008271; 
Q865S3	DH (DBL-homology) domain (1); PH domain (1); Phorbol-ester/DAG-type zinc finger (1)	IPR000219; IPR011993; IPR001849; IPR002219; IPR015721; 
Q60875	DH (DBL-homology) domain (1); PH domain (1); Phorbol-ester/DAG-type zinc finger (1)	IPR000219; IPR011993; IPR001849; IPR002219; IPR015721; 
B2DCZ9	DH (DBL-homology) domain (1); PH domain (1); Phorbol-ester/DAG-type zinc finger (1)	IPR000219; IPR011993; IPR001849; IPR002219; IPR015721; 
Q5FVC2	DH (DBL-homology) domain (1); PH domain (1); Phorbol-ester/DAG-type zinc finger (1)	IPR000219; IPR011993; IPR001849; IPR002219; IPR015721; 
