PF00007	CTCK
PF00008	EGF-like
PF00013	KH
PF00017	SH2
PF00018	SH3
PF00020	TNFR-Cys repeats (2)
PF00022	Actin
PF00023	Ankyrin repeat
PF00027	Cyclic nucleotide-binding
PF00028	Cadherin
PF00035	Double-stranded RNA binding motif
PF00036	EF
PF00041	Fibronectin type III
PF00046	Homeobox
PF00047	Immunoglobulin
PF00049	Insulin/IGF/Relaxin
PF00050	Kazal-type serine protease inhibitor
PF00053	Laminin EGF-like
PF00057	Low-density lipoprotein receptor domain class A
PF00059	Lectin C-type
PF00060	Ligand-gated ion channel
PF00063	Myosin
PF00069	Protein kinase
PF00071	Ras
PF00072	Response regulator receiver
PF00076	RRM, RBD, RNP
PF00084	Sushi
PF00085	Thioredoxin
PF00086	Thyroglobulin type-1 repeat
PF00089	Trypsin
PF00090	Thrombospondin type 1
PF00092	von Willebrand factor type A
PF00093	von Willebrand factor type C
PF00096	C2H2
PF00097	C3HC4
PF00105	C4
PF00128	Alpha amylase
PF00134	Cyclin
PF00149	Calcineurin
PF00158	Sigma-54
PF00168	C2
PF00169	PH
PF00176	SNF2
PF00178	ETS
PF00219	Insulin-like growth factor binding protein
PF00225	Kinesin
PF00226	DnaJ
PF00227	Proteasome
PF00240	Ubiquitin
PF00249	Myb
PF00270	DEAD
PF00307	CH
PF00373	FERM
PF00397	WW
PF00400	WD
PF00431	CUB
PF00433	Protein kinase
PF00435	Spectrin
PF00439	Bromodomain
PF00491	Arginase
PF00498	FHA
PF00514	Armadillo/beta-catenin-like
PF00531	Death
PF00533	BRCA1
PF00554	RHD
PF00560	Leucine Rich Repeat
PF00564	PB1
PF00568	WH1
PF00583	GNAT
PF00595	PDZ
PF00613	PIK
PF00614	Phospholipase D Active site motif
PF00615	Regulator of G protein signaling domain
PF00616	GTPase-activator protein for Ras-like GTPase
PF00617	RasGEF
PF00618	RasGEF N-terminal
PF00619	Caspase recruitment domain
PF00620	RhoGAP
PF00621	RhoGEF
PF00625	Guanylate
PF00627	UBA/TS-N
PF00632	HECT
PF00633	Helix-hairpin-helix
PF00640	PTB/PID
PF00646	F-box
